No;URL;Title;price;Attributes1;Attributes2;Attributes3;Attributes4
1;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411021;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.94;白色;3-6v;双色（红绿）;8mm
2;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411022;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.43;白色;3-6v;双色（红绿）;10mm
3;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411023;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.92;白色;3-6v;双色（红绿）;12mm
4;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411024;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;1.37;白色;12-24v;单色;6mm
5;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411025;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;1.96;白色;12-24v;单色;8mm
6;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411026;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.45;白色;12-24v;单色;10mm
7;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411027;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.94;白色;12-24v;单色;12mm
8;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411029;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.94;白色;12-24v;双色（红绿）;8mm
9;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411030;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.43;白色;12-24v;双色（红绿）;10mm
10;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411031;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.92;白色;12-24v;双色（红绿）;12mm
11;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411040;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;1.37;黄色;3-6v;单色;6mm
12;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411041;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;1.96;黄色;3-6v;单色;8mm
13;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411042;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.45;黄色;3-6v;单色;10mm
14;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411043;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.94;黄色;3-6v;单色;12mm
15;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411045;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;2.94;黄色;3-6v;双色（红绿）;8mm
16;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411046;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.43;黄色;3-6v;双色（红绿）;10mm
17;https://item.taobao.com/item.htm?spm=a1z09.2.0.0.749c2e8d28q1xe&id=653532162819&_u=82n471m91b3e&skuId=4889638411047;金属指示灯6/8/10/12mm防水小型发光电源信号LED带线3V 12V 220V;3.92;黄色;3-6v;双色（红绿）;12mm
